categories,count,average,median
Single-player,498,71791,71268
Single-player;Multi-player,145,30845,32299
"Single-player;Steam Achievements",57,4371,4211
"Single-player;Steam Cloud",50,9345,8375
"Single-player;Partial Controller Support",42,8273,9211
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",42,12123,12801
"Single-player;Steam Trading Cards",41,9285,9064
Single-player;Multi-player;Co-op,34,12752,13839
"Single-player;Steam Achievements;Steam Trading Cards",34,10396,9073
"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud",31,6910,9431
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",31,8951,9612
"Single-player;Steam Achievements;Partial Controller Support",25,6186,6656
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud",23,9801,8595
"Single-player;Multi-player;Steam Cloud",21,3434,3705
"Single-player;Multi-player;Steam Trading Cards",19,9029,10231
"Single-player;Steam Achievements;Full controller support;Steam Cloud",17,5391,5417
"Single-player;Multi-player;Steam Achievements",16,4463,4914
"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",16,1087,1227
"Single-player;Full controller support",14,2239,2333
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards",14,5065,4093
"Single-player;Steam Achievements;Steam Cloud",14,685,682
"Single-player;Multi-player;Partial Controller Support",12,4501,4251
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support",12,2020,2069
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",11,4748,5998
"Single-player;Steam Trading Cards;Steam Cloud",10,2648,2607
"Single-player;Multi-player;Steam Cloud;Includes level editor",10,1839,1839
"Single-player;Steam Achievements;Full controller support",10,3346,3308
"Single-player;Multi-player;Steam Achievements;Partial Controller Support",9,2103,2753
"Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards",9,3157,2195
"Single-player;Multi-player;Includes level editor",7,6891,4938
"Single-player;Steam Achievements;Stats",7,333,391
"Single-player;Steam Trading Cards;Partial Controller Support",7,1298,1328
"Single-player;Steam Achievements;Steam Leaderboards",7,802,783
"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",7,1070,1090
"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",7,168,204
"Single-player;Multi-player;Co-op;Partial Controller Support",7,2058,2080
"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",7,2103,1684
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",7,1422,1607
"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud",6,1333,1333
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",6,3521,3206
"Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards",6,959,1245
"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards",6,3699,3926
"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud",6,2651,2952
"Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards",6,780,875
"Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards",6,561,637
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards",6,1176,1303
"Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards",5,867,973
"Single-player;Shared/Split Screen;Full controller support",5,4166,5137
"Single-player;Partial Controller Support;Steam Cloud",5,450,548
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",5,2054,2236
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",5,1495,1872
MMO,5,1769,1442
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud",5,2090,1424
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud",5,15382,18337
"Single-player;Multi-player;Co-op;Steam Cloud",4,654,797
"Single-player;Multi-player;Steam Trading Cards;Steam Cloud",4,8097,4216
"Single-player;Full controller support;Steam Cloud",4,58,94
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards",4,1156,1217
"Single-player;Steam Achievements;Steam Cloud;Stats",4,1,1
Multi-player,4,56,92
"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Leaderboards",4,972,1313
"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats",4,229,402
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards",4,193,193
"Single-player;Full controller support;Steam Trading Cards",4,499,536
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",4,655,542
"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud",4,122,123
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",4,3057,2737
