developer,count
MumboJumbo,26
Valve,24
"HeR Interactive",22
"id Software",14
"Ubisoft Montreal",14
NovaLogic,14
"Big Fish Games",13
"Bohemia Interactive",12
LucasArts,12
"Spiderweb Software",12
"GSC Game World",11
"Paradox Development Studio",11
"Team17 Digital Ltd",11
"Daedalic Entertainment",11
"PopCap Games, Inc.",10
"Double Fine Productions",10
Frogwares,9
Capcom,9
PlayFirst,9
Rebellion,8
"Firaxis Games",8
"Relic Entertainment",8
Nival,8
"1C Entertainment",7
"SpinTop Games",7
"Crystal Dynamics",7
"Telltale Games",7
Ubisoft,7
"Square Enix",7
"Haemimont Games",7
"Sigma Team Inc.",7
"Sandlot Games",7
"Arcen Games, LLC",7
"Gaijin Games",7
"Cyanide Studio",7
"Gearbox Software",6
"Reality Pump Studios",6
Egosoft,6
Techland,6
Nadeo,6
"Cyanide Studios",6
"Gas Powered Games",6
"Last Day of Work",6
"EA Los Angeles",6
"Traveller's Tales",6
NeocoreGames,6
"Wadjet Eye Games",6
"Piranha Bytes",6
"FireFly Studios",6
SEGA,6
"Core Design",6
"Introversion Software",5
"Raven Software",5
"Eugen Systems",5
"Avalanche Studios",5
"Pendulo Studios",5
"MicroProse Software, Inc",5
"SCS Software",5
"Epic Games, Inc.",5
BioWare,5
"Hothead Games",5
"Bethesda Game Studios",5
"Realmforge Studios",5
1C:InoCo,5
"City Interactive",5
Alawar,5
"Animation Arts",5
Fatshark,5
"Totem Games",5
"Cyan Worlds",5
"exosyphen studios",5
Actalogic,5
"Zeboyd Games",5
"Reality Pump",5
"Nihon Falcom",5
"Milestone S.r.l.",5
"Tripwire Interactive",4
Sonalysts,4
Frozenbyte,4
"CINEMAX, s.r.o.",4
"Klei Entertainment",4
Funcom,4
"CAPCOM Co., Ltd.",4
"Pyro Studios",4
"The Farm 51",4
"SimBin Studios AB",4
"Remedy Entertainment",4
"Ascaron Entertainment ltd.",4
"Deck 13",4
"Infinite Interactive",4
"Oddworld Inhabitants",4
"Tilted Mill Entertainment, Inc.",4
"ACE Team",4
"inXile Entertainment",4
"Daybreak Game Company",4
"Slightly Mad Studios",4
"Tale of Tales",4
"DnS Development",4
"Centauri Production",4
"Hip Soft",4
"Two Tribes",4
Croteam,4
"Positech Games",4
"Nemesys Games",4
Microids,4
"Stainless Games",4
"Blendo Games",4
"Cipher Prime Studios",4
"Triumph Studios",4
"Capybara Games",4
"11 bit studios",4
"Platine Dispositif",4
Puppygames,4
"TimeGate Studios",4
"Cobra Mobile",4
"Stardock Entertainment",4
"Larian Studios",4
"Jackbox Games, Inc.",4
"Ritual Entertainment",3
"Strategy First",3
"Arkane Studios",3
"Infinity Ward;Aspyr (Mac)",3
"Bugbear Entertainment",3
PopTop,3
SimBin,3
